6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05
9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05
6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05
9.1e-05,6.1e-05,0.0622446,6.1e-05,0.0622446,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05
6.1e-05,0.609739,1.35582,1.21944,1.35582,0.609739,6.1e-05,4.1e-05,6.1e-05,4.1e-05
9.1e-05,1.35582,1.985,2.71159,1.985,1.35582,9.1e-05,6.1e-05,9.1e-05,6.1e-05
6.1e-05,0.609739,1.35582,1.21944,1.35582,0.609739,6.1e-05,4.1e-05,6.1e-05,4.1e-05
9.1e-05,6.1e-05,0.0622446,6.1e-05,0.0622446,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05
6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05,6.1e-05,4.1e-05
9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05,9.1e-05,6.1e-05
